type,category,accuracy,precision,recall,f1,true_positives,false_positives,false_negatives
construction,"Conditional-UnspecifiedEpistemic-NoInversion,Conditional-UnspecifiedEpistemic-NoInversion#2",0.9253731343283582,0.0,0.0,0.0,0,0,5
construction,"Conditional-UnspecifiedEpistemic-NoInversion,Interrogative-WHInfo-Direct",0.9117647058823529,0.0,0.0,0.0,0,0,6
construction,"Conditional-UnspecifiedEpistemic-Reduced,Interrogative-Polar-Direct,Interrogative-WHInfo-Direct",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Interrogative-Polar-Indirect,Interrogative-WHInfo-Indirect",0.96875,0.0,0.0,0.0,0,0,2
construction,"Conditional-UnspecifiedEpistemic-SubjVerbInversion,Interrogative-WHInfo-Indirect",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Existential-HavePred-ItExpl-ThereExpl,Interrogative-Polar-Direct",0.9393939393939394,0.0,0.0,0.0,0,0,4
construction,"Conditional-NeutralEpistemic,Interrogative-WHInfo-Direct",0.9538461538461539,0.0,0.0,0.0,0,0,3
construction,Interrogative-Alternative,0.8857142857142857,0.0,0.0,0.0,0,0,8
construction,"Conditional-NeutralEpistemic,Conditional-Reduced",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Conditional-NeutralEpistemic,Existential-HavePred-ItExpl-ThereExpl",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Conditional-NeutralEpistemic,Interrogative-Polar-Direct",0.96875,0.0,0.0,0.0,0,0,2
construction,"Conditional-NeutralEpistemic,Interrogative-WHInfo-Indirect",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,Conditional-NegativeEpistemic,0.8985507246376812,0.0,0.0,0.0,0,0,7
construction,"Existential-HavePred-ItExpl-ThereExpl,Interrogative-WHInfo-Direct",0.96875,0.0,0.0,0.0,0,0,2
construction,"Conditional-NegativeEpistemic,Interrogative-WHInfo-Direct",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,Existential-HavePred,0.5849056603773585,0.0,0.0,0.0,0,0,44
construction,"Interrogative-Polar-Direct,Resultative",0.96875,0.0,0.0,0.0,0,0,2
construction,"Interrogative-Reduced,Resultative",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Existential-HavePred,Interrogative-WHInfo-Direct",0.96875,0.0,0.0,0.0,0,0,2
construction,"Existential-HavePred,Interrogative-Reduced",0.96875,0.0,0.0,0.0,0,0,2
construction,"Conditional-NeutralEpistemic,Existential-HavePred",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Conditional-NeutralEpistemic,Resultative",0.9841269841269841,0.0,0.0,0.0,0,0,1
language,english,0.00135464643727987,0.0015943877551020409,0.008928571428571428,0.0027056277056277055,20,12524,2220
language,french,0.0027827469687934803,0.0029065743944636678,0.061313868613138686,0.005550049554013875,42,14408,643
language,chinese,0.0,0.0,0.0,0.0,0,1004,288
