sentence,construction_type,language
"Not only did Bush not know who General Pervez Musharraf was, he seems to have confused coup-making with ""taking office,"" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military, then the world's strongest supporter of the Taliban, would bring ""stability!""",Interrogative-WHInfo-Indirect,english
I can't tell you how ominous I found Bush's performance in that interview.,Interrogative-WHInfo-Indirect,english
"He obviously had no idea what he was talking about, though he demonstrated a number of ill-fated instincts.",Interrogative-WHInfo-Indirect,english
"Have they, however, actually weakened Israeli security?",Interrogative-Polar-Direct,english
"If it is hard to see how Baathist Iraq posed any real threat to Israel, it is not so difficult to see a menace in the current instability.",Interrogative-WHInfo-Indirect,english
But there are strong hints in the country that a new Indo-Sri Lanka defense deal could be in the making.,Interrogative-Polar-Direct,english
But there are strong hints in the country that a new Indo-Sri Lanka defense deal could be in the making.,Existential-CopPred-ThereExpl,english
But there are strong hints in the country that a new Indo-Sri Lanka defense deal could be in the making.,Interrogative-Polar-Direct,english
But there are strong hints in the country that a new Indo-Sri Lanka defense deal could be in the making.,Existential-CopPred-ThereExpl,english
India keeps what it has while Pakistan and China (which was gifted a slice of the territory three decades ago) do likewise.,Interrogative-WHInfo-Indirect,english
"We also know how Dan Rather libeled George Bush and impugned his service in the Texas Air National Guard on a ""60 Minutes II"" report based largely on forged documents.",Interrogative-WHInfo-Indirect,english
"In all this so-called controversy, has anyone considered that perhaps George Bush just wanted to fly jets?",Interrogative-Polar-Direct,english
"For example, did you know that George Bush spent considerably more time in uniform than John Kerry?",Interrogative-Polar-Direct,english
What do you really know about George W. Bush’s time in the Air National Guard?,Interrogative-WHInfo-Direct,english
That he didn’t show up for duty in Alabama?,Interrogative-Polar-Direct,english
Did you know that?,Interrogative-Polar-Direct,english
"There is no doubt that many Iraqis regard the date of 30 January as a day of renewed hope, one they have been awaiting all their lives, but at the same time, many others are already dreading it.",Interrogative-Polar-Direct,english
"There is no doubt that many Iraqis regard the date of 30 January as a day of renewed hope, one they have been awaiting all their lives, but at the same time, many others are already dreading it.",Existential-CopPred-ThereExpl,english
"The interim government has promised security measures that would reduce the violence on the day of elections, but I fail to see how they will be able to protect all 5,000 (or so) balloting centres.",Interrogative-WHInfo-Indirect,english
"Again there is no official written statement from Sistani's office confirming this allegation, which I think is intentional.",Interrogative-Polar-Direct,english
"Again there is no official written statement from Sistani's office confirming this allegation, which I think is intentional.",Interrogative-WHInfo-Indirect,english
"Again there is no official written statement from Sistani's office confirming this allegation, which I think is intentional.",Existential-CopPred-ThereExpl,english
I didn't argue with him but I asked him what he believed would be a viable solution to this mess.,Interrogative-WHInfo-Indirect,english
"Leaving aside the fact that this views conflicts with other historical examples in the region, Sunnis have never offered an alternative choice, which eventually leads one to guess that the opinion held by the Fallujan taxi driver above is precisely what they are planning to implement.",Interrogative-WHInfo-Indirect,english
"Leaving aside the fact that this views conflicts with other historical examples in the region, Sunnis have never offered an alternative choice, which eventually leads one to guess that the opinion held by the Fallujan taxi driver above is precisely what they are planning to implement.",Interrogative-WHInfo-Indirect,english
"Posada should have told any inquisitive journalist at his doorstep something like Meiring told the single American reporter who bothered following his bloody trail from the Philippines, that ""If this harms me in any way, you will find my power then, and you'll find out who I am.""",Interrogative-WHInfo-Indirect,english
"The bombings implicated Muslims, and exacerbated regional tensions which the Bush regime and its friends wearing the brass in the Philippine military sought to exploit.",Interrogative-WHInfo-Indirect,english
"I don't know how others feel, but I'm definitely looking into immigration to Canada as an option.",Interrogative-WHInfo-Indirect,english
How Would You Like To Know How YOU Can Live In A Beautiful NEW House That Is Custom-Designed To YOUR Specifications.........And At NO COST To You?,Interrogative-WHInfo-Indirect,english
How Would You Like To Know How YOU Can Live In A Beautiful NEW House That Is Custom-Designed To YOUR Specifications.........And At NO COST To You?,Interrogative-WHInfo-Direct,english
"‘’Where are Mullah Omar, Mullah Usmani and Gulbuddin Hikmetar?’’",Interrogative-WHInfo-Direct,english
However there were visible signs of a crackdown on the Pakistan side.,Interrogative-Polar-Direct,english
However there were visible signs of a crackdown on the Pakistan side.,Existential-CopPred-ThereExpl,english
"Moreover there are now major covert attempts under way to try and bring back to Kabul leading Taliban commanders, who have been living quietly in Pakistan and have taken no part in the Taliban insurgency.",Interrogative-Polar-Direct,english
"Moreover there are now major covert attempts under way to try and bring back to Kabul leading Taliban commanders, who have been living quietly in Pakistan and have taken no part in the Taliban insurgency.",Existential-CopPred-ThereExpl,english
"With President Karzai certain to win the elections and the demotion of key former Northern Alliance figures such as General Fahim and warlord Ismail Khan, there is now little reason for moderate Taliban leaders to fear reprisals from former Northern Alliance figures if they return home.",Interrogative-Polar-Direct,english
"With President Karzai certain to win the elections and the demotion of key former Northern Alliance figures such as General Fahim and warlord Ismail Khan, there is now little reason for moderate Taliban leaders to fear reprisals from former Northern Alliance figures if they return home.",Existential-CopPred-ThereExpl,english
"So far what they have done together has been good for us and that’s how we would like to keep it’’, says Karzai.",Interrogative-WHInfo-Indirect,english
What was Bush doing with his youth?,Interrogative-WHInfo-Direct,english
"This campaign season, there have been questions about whether George W. Bush fulfilled his obligations to the National Guard as a young lieutenant in the early 1970s.",Interrogative-Polar-Direct,english
"This campaign season, there have been questions about whether George W. Bush fulfilled his obligations to the National Guard as a young lieutenant in the early 1970s.",Existential-CopPred-ThereExpl,english
"There is one place in Alabama where Mr. Bush was present nearly every day: the headquarters in Montgomery of US Senate candidate Winton ""Red"" Blount.",Interrogative-Polar-Direct,english
"There is one place in Alabama where Mr. Bush was present nearly every day: the headquarters in Montgomery of US Senate candidate Winton ""Red"" Blount.",Existential-CopPred-ThereExpl,english
"But throughout Alabama, there were Republicans and Democrats who wanted to help Red Blount.",Interrogative-Polar-Direct,english
"But throughout Alabama, there were Republicans and Democrats who wanted to help Red Blount.",Existential-CopPred-ThereExpl,english
It was the young Texan's job to find out what each county leader needed in the way of campaign supplies and get those supplies to them.,Interrogative-WHInfo-Indirect,english
"Groom says this job helped Mr. Bush understand how even in a statewide Senate campaign, politics are local.",Interrogative-WHInfo-Indirect,english
"There are concerns that some may have been siphoned off.""",Interrogative-Polar-Direct,english
"There are concerns that some may have been siphoned off.""",Existential-CopPred-ThereExpl,english
"""It was about how he could humiliate her the most,"" prosecutor Dean Mandros said in closing arguments.",Interrogative-WHInfo-Indirect,english
"More than ever, police and prosecutors have the tools and the will to go after horrific crimes, even when the defendants are seemingly powerful individuals or institutions .",Interrogative-WHInfo-Indirect,english
Have you sent this to congress yet?,Interrogative-Polar-Direct,english
"""There's no tracking mechanism in place""?!?!?",Interrogative-Polar-Direct,english
"""There's no tracking mechanism in place""?!?!?",Existential-CopPred-ThereExpl,english
"Then, of course, there is the evidence the jury did not hear about in the Robinson case...",Interrogative-Polar-Direct,english
"Then, of course, there is the evidence the jury did not hear about in the Robinson case...",Existential-CopPred-ThereExpl,english
Personally I don't give a damn what adults do to one another as long as there is no abuse invovled.,Interrogative-WHInfo-Indirect,english
What's a few dead soldiers in comparison to keeping all those defense contractors awash in all that tax cash?,Interrogative-WHInfo-Direct,english
"They really are milking the incompetence angle though, aren't they?",Interrogative-Polar-Direct,english
"One has to wonder whether the bright fellows in our government and military who set up the deals with these people don't know what they are, don't care, or know perfectly well.",Interrogative-WHInfo-Indirect,english
"One has to wonder whether the bright fellows in our government and military who set up the deals with these people don't know what they are, don't care, or know perfectly well.",Interrogative-WHInfo-Indirect,english
The freaky thing here is that these bozos are seriously claiming the moral high ground ? ? ? ? ?,Interrogative-Polar-Direct,english
"Do you really think GWB, and neocons in general are representative of true followers of Jesus of Nazareth?",Interrogative-Polar-Direct,english
So why even credit their claims?,Interrogative-WHInfo-Direct,english
Are the adherent of 'Crowleyan Thelema' and others of similar ilk appropriating or appropriating from the appropriators to redirect 'energy?',Interrogative-Polar-Direct,english
Does this reappropriation lead to or originate from the same place?,Interrogative-Polar-Direct,english
Does the distinction actually exist?,Interrogative-Polar-Direct,english
"so, enemy, what's your point?",Interrogative-WHInfo-Direct,english
Why don't you state it?,Interrogative-WHInfo-Direct,english
"If the load was 99 tonnes there were probably less than 20,000.",Interrogative-Polar-Direct,english
"If the load was 99 tonnes there were probably less than 20,000.",Existential-CopPred-ThereExpl,english
Has anyone read the letter purportedly from Ahmadinejad to George Bush?,Interrogative-Polar-Direct,english
I don't know if this has been verified.,Interrogative-Polar-Indirect,english
==Why did Bush revoke Executive Order 13011 today?,Interrogative-WHInfo-Direct,english
Shall we censor the works of poet Charles Baudelaire as well?,Interrogative-Polar-Direct,english
"Whie I don't subscribe to the notion that the things we watch or listen to have no effect on our behavior (which I think is patently rediculous), it does bother me when people single out a specific group of people to pin the blame on.",Interrogative-WHInfo-Indirect,english
"You may regard my views as those of the proverbial taxi driver, which you are supposed to question, when you visit a country.",Interrogative-WHInfo-Indirect,english
Why do I put aside Israel and its own immediate neighborhood?,Interrogative-WHInfo-Direct,english
"Yes, there is a 100 year-old Israeli-Arab conflict, but it is not where the main show is.",Interrogative-Polar-Direct,english
"Yes, there is a 100 year-old Israeli-Arab conflict, but it is not where the main show is.",Existential-CopPred-ThereExpl,english
So what is all the fuss about suicide killings?,Interrogative-WHInfo-Direct,english
Who could stop a suicide murder in the midst of the crowded line waiting to be checked by the airport metal detector?,Interrogative-WHInfo-Direct,english
How about the lines to the check-in counters in a busy travel period?,Interrogative-WHInfo-Direct,english
What is behind the suicide murders?,Interrogative-WHInfo-Direct,english
"Wouldn't you expect some of the religious leaders to do it themselves, or to talk their sons into doing it, if this is truly a supreme act of religious fervor?",Interrogative-Polar-Direct,english
"There are numerous desperate people in the world, in different cultures, countries and continents.",Interrogative-Polar-Direct,english
"There are numerous desperate people in the world, in different cultures, countries and continents.",Existential-CopPred-ThereExpl,english
"There was certainly more despair in Saddam's Iraq than in Paul Bremmer's Iraq, and no one exploded himself.",Interrogative-Polar-Direct,english
"There was certainly more despair in Saddam's Iraq than in Paul Bremmer's Iraq, and no one exploded himself.",Existential-CopPred-ThereExpl,english
"After all, if you want to be an anti-Semite, there are subtle ways of doing it.",Interrogative-Polar-Direct,english
"After all, if you want to be an anti-Semite, there are subtle ways of doing it.",Existential-CopPred-ThereExpl,english
"There is a new game in town: The actual murderer is called ""the military wing"", the one who pays him, equips him and sends him is now called ""the political wing"" and the head of the operation is called the ""spiritual leader"".",Interrogative-Polar-Direct,english
"There is a new game in town: The actual murderer is called ""the military wing"", the one who pays him, equips him and sends him is now called ""the political wing"" and the head of the operation is called the ""spiritual leader"".",Existential-CopPred-ThereExpl,english
"There are numerous other examples of such Orwellian nomenclature, used every day not only by terror chiefs but also by Western media.",Interrogative-Polar-Direct,english
"There are numerous other examples of such Orwellian nomenclature, used every day not only by terror chiefs but also by Western media.",Existential-CopPred-ThereExpl,english
"There are naive old-fashioned habits such as respecting religious sites and symbols, not using ambulances and hospitals for acts of war, avoiding the mutilation of dead bodies and not using children as human shields or human bombs.",Interrogative-Polar-Direct,english
"There are naive old-fashioned habits such as respecting religious sites and symbols, not using ambulances and hospitals for acts of war, avoiding the mutilation of dead bodies and not using children as human shields or human bombs.",Existential-CopPred-ThereExpl,english
"Never in history, not even in the Nazi period, was there such total disregard of all of the above as we observe now.",Interrogative-Polar-Direct,english
"Never in history, not even in the Nazi period, was there such total disregard of all of the above as we observe now.",Existential-CopPred-ThereExpl,english
Every student of political science debates how you prevent an anti-democratic force from winning a democratic election and abolishing democracy.,Interrogative-WHInfo-Indirect,english
Can a policeman open fire on someone trying to kill him?,Interrogative-Polar-Direct,english
Can a government listen to phone conversations of terrorists and drug dealers?,Interrogative-Polar-Direct,english
"Should there be death penalty, for deliberate multiple murders?",Interrogative-Polar-Direct,english
"Should there be death penalty, for deliberate multiple murders?",Interrogative-Polar-Direct,english
"Should there be death penalty, for deliberate multiple murders?",Existential-CopPred-ThereExpl,english
"Do you return fire, if you are attacked from a hospital?",Interrogative-Polar-Direct,english
Do you search every ambulance after a few suicide murderers use ambulances to reach their targets?,Interrogative-Polar-Direct,english
Do you strip every woman because one pretended to be pregnant and carried a suicide bomb on her belly?,Interrogative-Polar-Direct,english
"Do you shoot back at someone trying to kill you, standing deliberately behind a group of children?",Interrogative-Polar-Direct,english
"Do you raid terrorist headquarters, hidden in a mental hospital?",Interrogative-Polar-Direct,english
What do you do?,Interrogative-WHInfo-Direct,english
"I leave it to you as homework to figure out what Spain or France would have done, in such a situation.",Interrogative-WHInfo-Indirect,english
"International law does not know how to handle someone who sends children to throw stones, stands behind them and shoots with immunity and cannot be arrested because he is sheltered by a Government.",Interrogative-WHInfo-Indirect,english
"International law does not know how to deal with a leader of murderers who is royally and comfortably hosted by a country, which pretends to condemn his acts or just claims to be too weak to arrest him.",Interrogative-WHInfo-Indirect,english
What can we do about it?,Interrogative-WHInfo-Direct,english
"I do not know if the American plan was actually to encircle both Iran and Syria, but that is the resulting situation.",Interrogative-Polar-Indirect,english
There is a risk that observers underestimate the time that Al Qaeda has had to make progress in such recruitment and research and development.,Interrogative-Polar-Direct,english
There is a risk that observers underestimate the time that Al Qaeda has had to make progress in such recruitment and research and development.,Existential-CopPred-ThereExpl,english
"There is an e-mail by Moussaoui, however, dated July 31, 2001 indicating that he sought to take a crop dusting course that was to last up to 6 months.",Interrogative-Polar-Direct,english
"There is an e-mail by Moussaoui, however, dated July 31, 2001 indicating that he sought to take a crop dusting course that was to last up to 6 months.",Existential-CopPred-ThereExpl,english
"""What we know is that he's always said it was a religious obligation to have the same weapons as their enemies,"" former CIA OBL unit counter terrorism chief Michael Scheuer has said.",Interrogative-WHInfo-Indirect,english
"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that ""said the program should seek cover and talent in educational institutions, which it said were 'more beneficial to us and allow easy access to specialists, which will greatly benefit us in the first stage, God willing.' ''",Interrogative-WHInfo-Indirect,english
"In October 2001, did the FBI profilers know of the draft message Khalid Mohammed had on the seized laptop (from 1995) that was signed ""Khalid Sheik Bojinka""?",Interrogative-Polar-Direct,english
"There was lax control over the distribution of the Ames strain that was used, especially in light of the fact that transfers were not even required to be recorded prior to 1997.",Interrogative-Polar-Direct,english
"There was lax control over the distribution of the Ames strain that was used, especially in light of the fact that transfers were not even required to be recorded prior to 1997.",Existential-CopPred-ThereExpl,english
"At least according to the public comments by bioweaponeer experts William Patrick and Kenneth Alibek, under the optimal method, there is no electrostatic charge.",Interrogative-Polar-Direct,english
"At least according to the public comments by bioweaponeer experts William Patrick and Kenneth Alibek, under the optimal method, there is no electrostatic charge.",Existential-CopPred-ThereExpl,english
"In the case of the anthrax used in the mailings, there was an electrostatic charge.",Interrogative-Polar-Direct,english
"In the case of the anthrax used in the mailings, there was an electrostatic charge.",Existential-CopPred-ThereExpl,english
"Although there was a dominance of single spores and a trillion spore concentration, there were clumps as large as 40 - 100 microns.",Interrogative-Polar-Direct,english
"Although there was a dominance of single spores and a trillion spore concentration, there were clumps as large as 40 - 100 microns.",Existential-CopPred-ThereExpl,english
"If mistaken, how did those reports first come about?",Interrogative-WHInfo-Direct,english
"There still is a very hot pursuit of the ""Atta-level"" Floridian, Adnan El Shukrijumah, who Siddiqui is thought to have known and been assisting.",Interrogative-Polar-Direct,english
"There still is a very hot pursuit of the ""Atta-level"" Floridian, Adnan El Shukrijumah, who Siddiqui is thought to have known and been assisting.",Interrogative-WHInfo-Indirect,english
"There still is a very hot pursuit of the ""Atta-level"" Floridian, Adnan El Shukrijumah, who Siddiqui is thought to have known and been assisting.",Existential-CopPred-ThereExpl,english
"There is an emerging consensus that anthrax was contained in a letter to AMI, the publisher of the National Enquirer -- in a goofy love letter to Jennifer Lopez enclosing a Star of David and proposing marriage.",Interrogative-Polar-Direct,english
"There is an emerging consensus that anthrax was contained in a letter to AMI, the publisher of the National Enquirer -- in a goofy love letter to Jennifer Lopez enclosing a Star of David and proposing marriage.",Existential-CopPred-ThereExpl,english
"(There initially was an outstanding $2 million reward -- under the rewards for justice program, the reward now is up to $5 million.).",Interrogative-Polar-Direct,english
"(There initially was an outstanding $2 million reward -- under the rewards for justice program, the reward now is up to $5 million.).",Existential-CopPred-ThereExpl,english
There was no claim of responsibility.,Interrogative-Polar-Direct,english
There was no claim of responsibility.,Existential-CopPred-ThereExpl,english
There was no explanation.,Interrogative-Polar-Direct,english
There was no explanation.,Existential-CopPred-ThereExpl,english
"There's even a chapter titled ""Poisonous Letter"" in the Al Qaeda manual.",Interrogative-Polar-Direct,english
"There's even a chapter titled ""Poisonous Letter"" in the Al Qaeda manual.",Existential-CopPred-ThereExpl,english
"A FAQ on the Azzam Publications website explained that ""In the Hearts of Green Birds"" refers to what is inside.",Interrogative-WHInfo-Indirect,english
"As to opportunity, though seldom reported, there is a wealth of ""open source"" information about possible Al Qaeda or Egyptian Islamic Jihad or Egyptian Islamic Group in the United States and Canada.",Interrogative-Polar-Direct,english
"As to opportunity, though seldom reported, there is a wealth of ""open source"" information about possible Al Qaeda or Egyptian Islamic Jihad or Egyptian Islamic Group in the United States and Canada.",Existential-CopPred-ThereExpl,english
"First, the nature of such an investigation is that we lack sufficient information to second-guess (or even know) what the FBI is doing.",Interrogative-WHInfo-Indirect,english
Have you had an opportunity to consider the invitation yet?,Interrogative-Polar-Direct,english
"We are aiming to have the programme printed next week, so I would really need to know as soon as possible if you would be available to speak at this year's congress.",Interrogative-Polar-Indirect,english
Will you drive on that day?,Interrogative-Polar-Direct,english
"I suggest that you compare Elena and Sarah's duties/ level to other Sr. Spec. in your group such as Kenneth Parkhill and Sevil to determine if they are equivalent, or if their scope of responsibilities and experience is not as broad.",Interrogative-Polar-Indirect,english
"At some point, I'd like to talk about the diversification strategy in more detail -- perhaps over dinner or a quick meeting after the markets close?",Interrogative-Polar-Direct,english
How about dinner on Wednesday after that ?,Interrogative-WHInfo-Direct,english
are you going to the NYMEX candidate cocktail hour Tuesday?,Interrogative-Polar-Direct,english
oh god is there an agenda.,Interrogative-Polar-Direct,english
oh god is there an agenda.,Existential-CopPred-ThereExpl,english
are you going to the NYMEX candidate cocktail hour Tuesday?,Interrogative-Polar-Direct,english
oh god is there an agenda.,Interrogative-Polar-Direct,english
oh god is there an agenda.,Existential-CopPred-ThereExpl,english
Did you happen to sign your employment agreement?,Interrogative-Polar-Direct,english
"If you would, please review the entire list and let me know if you are in agreement with the presentation by tomorrow evening, if possible.",Interrogative-Polar-Indirect,english
Are we going to attend?,Interrogative-Polar-Direct,english
The conference will also discuss what it will take in legislative action and regulatory initiative to achieve an efficient regime for ensuring that the nation has a reliable grid and regional trading system.,Interrogative-WHInfo-Indirect,english
Who has the 2000 tax return file for 969?,Interrogative-WHInfo-Direct,english
How do you feel about taking on another company?,Interrogative-WHInfo-Direct,english
Do you concur?,Interrogative-Polar-Direct,english
"If possible, can you also give an indication of the rank - 1 through 5?",Interrogative-Polar-Direct,english
"There is a corporate data sheet for this company, but this entity seems to have been inactive since it's creation.",Interrogative-Polar-Direct,english
"There is a corporate data sheet for this company, but this entity seems to have been inactive since it's creation.",Existential-CopPred-ThereExpl,english
Let me know if you have any questions.,Interrogative-Polar-Indirect,english
How do you feel about taking on another company?,Interrogative-WHInfo-Direct,english
Do you concur?,Interrogative-Polar-Direct,english
"If possible, can you also give an indication of the rank - 1 through 5?",Interrogative-Polar-Direct,english
"For example, I would like to know if Rothko or Kline did any work on paper.",Interrogative-Polar-Indirect,english
Is there 1 available?,Interrogative-Polar-Direct,english
Is there 1 available?,Existential-CopPred-ThereExpl,english
"Do we intend to reference a particular manufacturer, or should this be more generic?",Interrogative-Polar-Direct,english
"Do we expect to have ONE EPC contract, or several?",Interrogative-Polar-Direct,english
"Do we intend to reference a particular manufacturer, or should this be more generic?",Interrogative-Polar-Direct,english
"Do we expect to have ONE EPC contract, or several?",Interrogative-Polar-Direct,english
Are we expecting that the portion attributable to each project will be paid as the individual EPC contracts are signed?,Interrogative-Polar-Direct,english
What are we going to get her?,Interrogative-WHInfo-Indirect,english
What are some good interview questions?,Interrogative-WHInfo-Direct,english
Do I need to cross reference the deals in my model to the deals in the system or did you already do that?,Interrogative-Polar-Direct,english
How about meeting at 11:30 or 12?,Interrogative-WHInfo-Direct,english
Are you guys still looking for an analyst?,Interrogative-Polar-Direct,english
Should I send the resume to Dawn or you directly?,Interrogative-Polar-Direct,english
Does that work for you?,Interrogative-Polar-Direct,english
And do you want to do it on a Saturday or Sunday?,Interrogative-Polar-Direct,english
Should we set a date now?,Interrogative-Polar-Direct,english
Am I turning into Mother?,Interrogative-Polar-Direct,english
"Is there an article to be included in an Enron publication and in addition a letter to be sent under John's name (if so, to whom will the letter be sent)?",Interrogative-Polar-Direct,english
"Is there an article to be included in an Enron publication and in addition a letter to be sent under John's name (if so, to whom will the letter be sent)?",Existential-CopPred-ThereExpl,english
There is much work to do in defining the content and regularity of the report and even more work to do to identify reliable sources of data for compiling the report.,Interrogative-Polar-Direct,english
There is much work to do in defining the content and regularity of the report and even more work to do to identify reliable sources of data for compiling the report.,Existential-CopPred-ThereExpl,english
Does she have any interest in meeting one-on-one or is she just looking for a public hanging?,Interrogative-Polar-Direct,english
Can we get some help on the IBM issues?,Interrogative-Polar-Direct,english
"There are still four important issues, however:",Interrogative-Polar-Direct,english
"There are still four important issues, however:",Existential-CopPred-ThereExpl,english
Please let us know if you have additional questions.,Interrogative-Polar-Indirect,english
it's did you watch your girl on tv last night?,Interrogative-Polar-Direct,english
"Did you do a deal with National Fuel Marketing purchasing 3,500 mmbtu on May 30th @2.975?",Interrogative-Polar-Direct,english
Can you give me the Sitara deal #?,Interrogative-Polar-Direct,english
"Did you do a deal with National Fuel Marketing purchasing 3,500 mmbtu on May 30th @2.975?",Interrogative-Polar-Direct,english
Can you give me the Sitara deal #?,Interrogative-Polar-Direct,english
"Nancy, can you please reconfirm with Mark the price for the gas at Bondad?",Interrogative-Polar-Direct,english
How was your trip to Des Moines?,Interrogative-WHInfo-Direct,english
When are we going to get NetMeeting going ?,Interrogative-WHInfo-Direct,english
How is Deb's knee?,Interrogative-WHInfo-Direct,english
Did she ever go to a real doctor?,Interrogative-Polar-Direct,english
I didn't remember if your email mentioned Judy.,Interrogative-Polar-Indirect,english
Did she make it?,Interrogative-Polar-Direct,english
Should we all get together and make a conference call to Dominion like we did before or should I just call Jeff Davis myself?,Interrogative-Polar-Direct,english
I'm still trying to find out what it will take to move gas on and ENA tabs agreement.,Interrogative-WHInfo-Indirect,english
"Can you tell the free world just what enabled women here to achieve this reversal of roles?""",Interrogative-WHInfo-Indirect,english
"We thought you might like to know who your colleagues find interesting, so we've provided a sampling of the suggestions below.",Interrogative-WHInfo-Indirect,english
"There were plenty of internal speakers requested, as well.",Interrogative-Polar-Direct,english
"There were plenty of internal speakers requested, as well.",Existential-CopPred-ThereExpl,english
What about 7:00 at the office or breakfast meeting at 7:00?,Interrogative-WHInfo-Direct,english
Can we get together Friday morning July 7 at 800 am at your office?,Interrogative-Polar-Direct,english
What about 10:30 my time?,Interrogative-WHInfo-Direct,english
"how about Thursday, July 6?",Interrogative-WHInfo-Direct,english
"How about a pre-meeting web site cruise on Friday, July 7 at 11AM EDT?",Interrogative-WHInfo-Direct,english
How can we arrange it?,Interrogative-WHInfo-Direct,english
"How about a pre-meeting web site cruise on Friday, July 7 at 11AM EDT?",Interrogative-WHInfo-Direct,english
How is Wednesday at 2:30?,Interrogative-WHInfo-Direct,english
How is the site doing?,Interrogative-WHInfo-Direct,english
"P.S. By the way, did you have a chance to take a look at the EOL?",Interrogative-Polar-Direct,english
what do you think?,Interrogative-WHInfo-Direct,english
Let me know if you think this is reasonable and workable.,Interrogative-Polar-Indirect,english
Let me know if we need to discuss anything.,Interrogative-Polar-Indirect,english
Can you find out who I need to send it to in HR?,Interrogative-WHInfo-Indirect,english
"In the next week or so, we'll be sending around a discussion paper which we hope crystallizes the issues, and we will try to talk to as many of you as possible before the meeting to go through it.",Interrogative-WHInfo-Indirect,english
"There are three possible dates for the meeting, which I suggest be in two parts -- first, a meeting among the panel only from 5:00-6:30 p.m., and then a dinner with Chairman Levitt from 6:30-8:30 p.m.",Interrogative-Polar-Direct,english
"There are three possible dates for the meeting, which I suggest be in two parts -- first, a meeting among the panel only from 5:00-6:30 p.m., and then a dinner with Chairman Levitt from 6:30-8:30 p.m.",Interrogative-WHInfo-Indirect,english
"There are three possible dates for the meeting, which I suggest be in two parts -- first, a meeting among the panel only from 5:00-6:30 p.m., and then a dinner with Chairman Levitt from 6:30-8:30 p.m.",Existential-CopPred-ThereExpl,english
